id,label
107,https://hemsirelik.deu.edu.tr/fakultemiz/yonetim/fakulte-kurulu/
108,https://hemsirelik.deu.edu.tr/etkinlikler/kurumun-etkinlikleri/
109,https://hemsirelik.deu.edu.tr/etkinlikler/sosyal-etkinlikler/
110,https://hemsirelik.deu.edu.tr/duyurular/elektronik-fetal-izlem-kursu-24-haziran-2021/
111,https://hemsirelik.deu.edu.tr/fakultemiz/idari-personel/
112,https://hemsirelik.deu.edu.tr/fakultemiz/faydali-baglantilar/
113,https://hemsirelik.deu.edu.tr/fakultemiz/hakkimizda/fiziksel-donanim/
114,https://hemsirelik.deu.edu.tr/duyurular/dokuz-eylul-universitesi-2020-2021-ogretim-yili-akademik-takvimi/
115,https://hemsirelik.deu.edu.tr/fakultemiz/faydali-baglantilar/sivil-toplum-orgutleri/
116,https://hemsirelik.deu.edu.tr/iletisim/telefon-rehberi/
117,https://hemsirelik.deu.edu.tr/fakultemiz/hakkimizda/fiziksel-donanim/akademik-ve-idari-personel-hizmet-alanlari/
118,https://hemsirelik.deu.edu.tr/egitim/ogrenci-sayilari/tercih-edilme-oranlari/
119,https://hemsirelik.deu.edu.tr/fakultemiz/faydali-baglantilar/bilimsel-merkezler/
120,https://hemsirelik.deu.edu.tr/duyurular/deu-hef-engelsiz-erisim-komitesi-engelliler-haftasi-soylesisi/
121,https://hemsirelik.deu.edu.tr/duyurular/covid-19-pandemi-surecinde-hemsirelik-egitim-ve-uygulamalarinin-gelistirilmesi/
122,https://hemsirelik.deu.edu.tr/fakultemiz/faydali-baglantilar/resmi-kurumlar/
123,https://hemsirelik.deu.edu.tr/fakultemiz/faydali-baglantilar/mesleki-dernekler/
124,https://hemsirelik.deu.edu.tr/egitim/simulasyon-laboratuvarlari/
125,http://engelsiz.deu.edu.tr/
126,https://hemsirelik.deu.edu.tr/fakultemiz/akademik/
127,https://hemsirelik.deu.edu.tr/egitim/lisansustu/doktora-programlari/
128,https://hemsirelik.deu.edu.tr/egitim/ders-bilgi-paketleri/
129,https://hemsirelik.deu.edu.tr/egitim/lisansustu/yuksek-lisans-programlari/
130,https://hemsirelik.deu.edu.tr/egitim/lisans/geri-bildirim/
131,https://hemsirelik.deu.edu.tr/geri-bildirim/
132,https://hemsirelik.deu.edu.tr/etkinlikler/
133,https://hemsirelik.deu.edu.tr/fakultemiz/yonetim/
134,https://hemsirelik.deu.edu.tr/egitim/lisansustu/
135,https://hemsirelik.deu.edu.tr/egitim/ogrenci-sayilari/
136,https://hemsirelik.deu.edu.tr/egitim/lisans/mevzuat/
137,http://hemsirelik.deu.edu.tr/duyurular/spss-ve-amos-uygulamali-olcek-gelistirme-ve-kulturlerarasi-olcek-uyarlama-kursu-11-12-ekim-2018/
138,http://hemsirelik.deu.edu.tr/duyurular/rehber-hemsire-egitimi/
139,https://hemsirelik.deu.edu.tr/egitim/lisans/akademik-takvim/
140,https://hemsirelik.deu.edu.tr/duyurular/2020-2021-egitim-ogretim-yili-bahar-yariyili-ara-sinav-yariyil-sonu-final-ve-butunleme/
141,https://hemsirelik.deu.edu.tr/fakultemiz/yonetim/fakulte-yonetimi/
142,https://hemsirelik.deu.edu.tr/etkinlikler/sosyal-sorumluluk-etkinlikleri/
143,https://hemsirelik.deu.edu.tr/merkezler/
144,https://hemsirelik.deu.edu.tr/fakultemiz/hakkimizda/fiziksel-donanim/egitim-alanlariderslikler/
145,https://hemsirelik.deu.edu.tr/e-dergi/
146,https://hemsirelik.deu.edu.tr/fakultemiz/akademik/misafir-ogretim-uyeleri/
147,https://hemsirelik.deu.edu.tr/egitim/ogrenci-topluluklari/
148,https://hemsirelik.deu.edu.tr/fakultemiz/basarilarimiz/
149,https://hemsirelik.deu.edu.tr/iletisim/ulasim/
150,https://hemsirelik.deu.edu.tr/fakultemiz/hakkimizda/dekanimizin-mesaji/
151,https://hemsirelik.deu.edu.tr/etkinlikler/bilimsel-etkinlikler/
152,https://hemsirelik.deu.edu.tr/egitim/lisans/egitimin-ozellikleri/
153,https://hemsirelik.deu.edu.tr/egitim/program-ciktilari/
154,https://hemsirelik.deu.edu.tr/duyurular/2019-2020-egitim-ogretim-yili-bahar-yariyilinda-mezuniyet-asamasina-gelen-ogrencilerimizin-dikkatine/
155,https://hemsirelik.deu.edu.tr/egitim/ogrenci-sayilari/kayitli-ogrenci-sayilari/
156,https://hemsirelik.deu.edu.tr/fakultemiz/hakkimizda/tanim-ve-tarihce/
157,https://hemsirelik.deu.edu.tr/duyurular/yetenek-kapisi/
158,https://hemsirelik.deu.edu.tr/egitim/burslar/
159,https://hemsirelik.deu.edu.tr/duyurular/2020-2021-bahar-yariyili-akademik-danismanlik/
160,https://hemsirelik.deu.edu.tr/egitim/dokuz-eylul-universitesi-kutuphanesi/
161,https://hemsirelik.deu.edu.tr/fakultemiz/basarilarimiz/akademik-basarilarimiz/
162,https://hemsirelik.deu.edu.tr/egitim/lisans/
163,https://hemsirelik.deu.edu.tr/fakultemiz/akademik/anabilim-dallari/
164,https://hemsirelik.deu.edu.tr/fakultemiz/hakkimizda/fiziksel-donanim/toplanti-konferans-salonlari/
165,https://hemsirelik.deu.edu.tr/egitim/kariyer-planlama/
166,https://hemsirelik.deu.edu.tr/egitim/simulasyon-laboratuvarlari/guncel-durum/
167,https://hemsirelik.deu.edu.tr/fakultemiz/hakkimizda/misyon-ve-vizyon/
168,https://hemsirelik.deu.edu.tr/duyurular/t-c-saglik-bakanligi-covid-19-enfeksiyonu-rehberi/
169,https://hemsirelik.deu.edu.tr/duyurular/evde-bakim-merkezi-destek-grup-toplantilari/
170,https://hemsirelik.deu.edu.tr/egitim/simulasyon-laboratuvarlari/web-tanitim-metni/
171,https://hemsirelik.deu.edu.tr/egitim/lisans/danisman-listesi/
172,http://international.deu.edu.tr/?page_id=2717
173,https://hemsirelik.deu.edu.tr/duyurular/mezun-bilgi-formu/
174,https://hemsirelik.deu.edu.tr/egitim/erasmus/
175,http://webb.deu.edu.tr/bologna/
176,https://hemsirelik.deu.edu.tr/fakultemiz/hakkimizda/kurucumuz/
177,https://hemsirelik.deu.edu.tr/fakultemiz/akademik/akademik-kadro-sayilari/
178,https://hemsirelik.deu.edu.tr/fakultemiz/yonetim/fakulte-yonetim-kurulu/
179,https://hemsirelik.deu.edu.tr/egitim/ogrenci-sayilari/mezun-ogrenci-sayisi/
180,https://hemsirelik.deu.edu.tr/fakultemiz/basarilarimiz/ogrencilerimizin-basarilari/
181,https://hemsirelik.deu.edu.tr/iletisim/adres-bilgileri/
182,https://hemsirelik.deu.edu.tr/egitim/lisans/egitim-ogretim-plani-ve-programi/
183,https://hemsirelik.deu.edu.tr/fakultemiz/hakkimizda/
184,https://hemsirelik.deu.edu.tr/
185,https://hemsirelik.deu.edu.tr/fakultemiz/akademik/komite-ve-komisyonlar/
186,https://hemsirelik.deu.edu.tr/egitim/simulasyon-laboratuvarlari/tesekkur-metni/
187,https://hemsirelik.deu.edu.tr/fakultemiz/ilgili-form-ve-dilekceler/
188,https://hemsirelik.deu.edu.tr/en/
189,http://atmer.deu.edu.tr/makaleler/
190,http://atmer.deu.edu.tr/turkiyenin-muzakere-sureci/
191,http://atmer.deu.edu.tr/galeri/
192,http://atmer.deu.edu.tr/makaleler-2/
193,http://atmer.deu.edu.tr/turkiye-ve-avrupa-birligi/
194,http://atmer.deu.edu.tr
195,http://atmer.deu.edu.tr/temel-metinler/
196,http://atmer.deu.edu.tr/iletisim/
197,http://atmer.deu.edu.tr/yonetim-kurulu/
198,http://atmer.deu.edu.tr/danisma-kurulu/
199,http://atmer.deu.edu.tr/yonetmelik/
200,http://atmer.deu.edu.tr/kurucu-antlasmalar/
201,http://atmer.deu.edu.tr/tanitim/
202,http://atmer.deu.edu.tr/hakkimizda/
203,http://atmer.deu.edu.tr/egitim-2/
204,http://atmer.deu.edu.tr/yonetim/
205,http://atmer.deu.edu.tr/etkinlikler/
206,http://imid.deu.edu.tr/tr/destek-hizmetleri-sube-mudurlugu/ulastirma-hizmetleri-sefligi-2/
207,http://imid.deu.edu.tr/tr/sivil-savunma-uzmanligi/
208,http://imid.deu.edu.tr/tr/idari-mali-isler-proseduru/
209,http://imid.deu.edu.tr/tr/satinalma-ve-malzeme-sube-mudurlugu/
210,http://imid.deu.edu.tr/tr/destek-hizmetleri-sube-mudurlugu/cevre-duzenleme-koruma-ve-bakim-sefligi/
211,http://imid.deu.edu.tr/tr/destek-hizmetleri-sube-mudurlugu/teknik-hizmetler-sefligi/
212,http://matbaa.deu.edu.tr/
213,http://imid.deu.edu.tr/duyurular/500/
214,http://imid.deu.edu.tr/tr/destek-hizmetleri-sube-mudurlugu/planlama-ve-koordinasyon-birimi/
215,http://imid.deu.edu.tr/tr/matbaa-sube-mudurlugu/
216,http://imid.deu.edu.tr/tr/iletisim/
217,http://imid.deu.edu.tr/tr/insan-kaynaklari-birimi/
218,http://imid.deu.edu.tr/tr/hakkimizda-imid/
219,http://imid.deu.edu.tr/tr/destek-hizmetleri-sube-mudurlugu/destek-hizmetleri-iletisim/
220,http://imid.deu.edu.tr/tr/destek-hizmetleri-sube-mudurlugu/temizlik-ve-bakim-hizmetleri-sefligi/
221,http://imid.deu.edu.tr/tr/santral/
222,http://imid.deu.edu.tr/duyurular/gunluk-arac-talep-formu/
223,http://imid.deu.edu.tr/tr/destek-hizmetleri-sube-mudurlugu/destek-hizmetleri-organisazyon-yapisi/
224,http://imid.deu.edu.tr/tr/tasinir-kayit-ve-kontrol-birimi/
225,http://imid.deu.edu.tr/tr/tahakkuk-sefligi/
226,http://imid.deu.edu.tr/tr/destek-hizmetleri-sube-mudurlugu/
227,http://imid.deu.edu.tr/duyurular/teknik-gezi-ve-sportif-faaliyetler-icin-minubus-otobus-arac-talep-olur-formu/
228,http://imid.deu.edu.tr/tr/organizasyon-yapimiz/
229,http://imid.deu.edu.tr/tr/destek-hizmetleri-sube-mudurlugu/ulastirma-hizmetleri-sefligi-2/arac-gorev-emri-formuna-bu-dosyadan-ulasabilirsiniz/
230,http://akademi-de.deu.edu.tr/dijital-dunyada-iletisim/
231,http://akademi-de.deu.edu.tr/yonetim/
232,http://akademi-de.deu.edu.tr/tarihcemiz/
233,http://akademi-de.deu.edu.tr/dijital-ortamda-itibar-yonetimi/
234,http://akademi-de.deu.edu.tr/etkili-iletisim-becerileri-egitimi/
235,http://akademi-de.deu.edu.tr/yonetmelik/
236,http://akademi-de.deu.edu.tr/sakai-ogrenme-yonetim-sisteminin-etkin-kullaniminda-egiticinin-egitimi-10-09-2020/
237,http://akademi-de.deu.edu.tr/pandemi-ve-inovasyon/
238,http://akademi-de.deu.edu.tr/sakai-ogrenme-yonetim-sisteminin-etkin-kullaniminda-egiticinin-egitimi-08-09-2020/
239,http://akademi-de.deu.edu.tr/iletisim/
240,http://akademi-de.deu.edu.tr/egiticinin-egitimi-puko-dongusu/
241,http://akademi-de.deu.edu.tr/stres-yonetimi/
242,http://akademi-de.deu.edu.tr/
243,http://akademi-de.deu.edu.tr/hakkimizda/
244,http://akademi-de.deu.edu.tr/etkinliklerimiz/
245,http://akademi-de.deu.edu.tr/egiticinin-egitimi/
246,http://akademi-de.deu.edu.tr/sakai-ogrenme-yonetim-sisteminin-etkin-kullaniminda-egiticinin-egitimi/
